Position ,Total years of experience,Seniority level,Yearly brutto salary (without bonus and stocks) in EUR,Employment status,Сontract duration,Company size,Company type,"Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR",Programming languages,Frameworks / Libs,Databases,Design,Clouds,Platform,DevOps tools
Software Engineer,5,Senior,80000,Full-time employee,Unlimited contract,51-100,Product,,TypeScript; ,,,,,,
Backend Developer,7,Senior,80000,Full-time employee,Unlimited contract,101-1000,Product,,Ruby; ,,,,,,
Software Engineer,12,Lead,120000,Self-employed (freelancer),Temporary contract,101-1000,Product,,JavaScript; TypeScript; ,,,,,,
Frontend Developer,4,Junior,54000,Full-time employee,Unlimited contract,51-100,Startup,,JavaScript; ,,,,,,
Backend Developer,17,Senior,62000,Full-time employee,Unlimited contract,101-1000,Product,,C#; ,.NET; ,,,,,
DevOps,5,Senior,76000,Full-time employee,Unlimited contract,011-050,Startup,,Python; ,,,,AWS; GCP; ,,Kubernetes; 
Frontend Developer,6,Middle,57000,Full-time employee,Unlimited contract,011-050,Product,,JavaScript; ,,,,,,
Frontend Developer,5,Senior,65000,Full-time employee,Unlimited contract,1000+,Product,600,TypeScript; ,,,,,,
Backend Developer,8,Senior,56000,Full-time employee,Unlimited contract,101-1000,Product,,PHP; ,,,,,,
Software Engineer,15,Lead,95000,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Data Engineer,2,Junior,52500,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,,TypeScript; ,Hadoop; ,Postgres; ,,AWS; ,,
Software Engineer,25,Senior,100000,Self-employed (freelancer),Temporary contract,011-050,Product,,C++; ,,,,,,
Software Engineer,,Lead,90000,Full-time employee,Unlimited contract,1000+,,1000,PHP; ,,,,,,
Software Engineer,14,Senior,70000,Full-time employee,Unlimited contract,011-050,Startup,,TypeScript; ,,,,,,
Designer (UI/UX),11,Senior,75000,Full-time employee,Unlimited contract,1000+,Product,,No info,No info,No info,No info,No info,No info,No info
Backend Developer,5,Senior,75000,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,,Kotlin; ,,,,,,
Backend Developer,7,Middle,60350,Full-time employee,Unlimited contract,1000+,Product,,Ruby; ,,,,,,
Product Manager,18,Senior,78000,Full-time employee,Unlimited contract,51-100,Startup,,No info,No info,No info,No info,No info,No info,No info
Backend Developer,8,Senior,60000,Full-time employee,Unlimited contract,1000+,Product,,PHP; ,,,,,,
Mobile Developer,11,Lead,80000,Full-time employee,Unlimited contract,101-1000,Product,,Kotlin; ,,,,,,
DevOps,13,Senior,103000,Full-time employee,Unlimited contract,1000+,Product,,No info,No info,No info,No info,No info,No info,No info
Software Architect,15,Lead,100000,Full-time employee,Unlimited contract,1000+,Product,,JavaScript; ,NodeJS; ,,,,,
Software Engineer,5,Senior,65000,Full-time employee,Unlimited contract,1000+,Product,,JavaScript; ,,,,,,
Backend Developer,30,Senior,69000,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Software Engineer,17,Lead,70000,Full-time employee,Unlimited contract,101-1000,Product,,PHP; ,,,,,,
Team Lead,18,Lead,80000,Full-time employee,Unlimited contract,101-1000,Product,,,,,,,iOS; ,
DevOps,6,Senior,75000,Full-time employee,Unlimited contract,101-1000,Product,,,,,,,,Kubernetes; 
Test manager,6,Middle,47400,Full-time employee,Unlimited contract,1000+,Media,,,,,,,,
DevOps,14,Senior,67000,Full-time employee,Unlimited contract,101-1000,Product,,No info,No info,No info,No info,No info,No info,No info
Product Manager,13,Senior,70000,Full-time employee,Unlimited contract,101-1000,Product,200,,,,,,,
Software Engineer,6,Lead,85000,Full-time employee,Unlimited contract,101-1000,Product,1100,Golang; ,,,,,,
Backend Developer,5,Middle,65000,Full-time employee,Unlimited contract,101-1000,Startup,,Java; ,,,,,,
QA Engineer,7,Middle,45000,Full-time employee,Unlimited contract,51-100,Startup,,No info,No info,No info,No info,No info,No info,No info
Software Engineer,8,Senior,80000,Full-time employee,Unlimited contract,51-100,Startup,,Java; ,,,,,,
Software Engineer,8,Middle,63000,Full-time employee,Unlimited contract,101-1000,Product,,JavaScript; ,,,,,,
Data Scientist,5,Lead,150000,Full-time employee,Unlimited contract,1000+,Product,1,Python; ,,,,,,
Designer (UI/UX),7,Middle,45000,Full-time employee,Unlimited contract,1000+,Product,,,,,Figma; ,,,
Software Engineer,8,Senior,80000,Full-time employee,Unlimited contract,101-1000,Product,,JavaScript; ,,,,,,
Backend Developer,5,Senior,75000,Full-time employee,Unlimited contract,101-1000,Startup,,Kotlin; ,,,,,,
DevOps,10,Senior,70000,Full-time employee,Unlimited contract,51-100,Startup,,Golang; Python; ,,,,,,
Frontend Developer,7,Senior,72000,Full-time employee,Unlimited contract,1000+,Product,1000,,React; ,,,,,
Software Engineer,15,Senior,67000,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
Frontend Developer,10,Senior,105000,Self-employed (freelancer),Temporary contract,101-1000,Product,5000,TypeScript; ,,,,,,
Software Engineer,12,Senior,88000,Full-time employee,Unlimited contract,1000+,Product,,,,,,,,
Software Engineer,6,Senior,74000,Full-time employee,Unlimited contract,1000+,Product,,Java; ,,,,,,
Software Engineer,25,Senior,75000,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Designer (UI/UX),5,Senior,60000,Full-time employee,Unlimited contract,1000+,Product,,No info,No info,No info,No info,No info,No info,No info
Backend Developer,3,Middle,77000,Full-time employee,Unlimited contract,101-1000,Product,,Java; ,,,,,,
Backend Developer,12,Senior,70000,Full-time employee,Unlimited contract,1000+,Product,,No info,No info,No info,No info,No info,No info,No info
Software Engineer,7,Lead,76000,Full-time employee,Unlimited contract,101-1000,Startup,,Python; ,,,,,,
Backend Developer,10,Senior,75000,Full-time employee,Unlimited contract,101-1000,Product,500,Ruby; ,,,,,,
Designer (UI/UX),7,Middle,45000,Full-time employee,Unlimited contract,1000+,Product,,,,,Figma; ,,,
QA Engineer,8,Senior,60000,Full-time employee,Unlimited contract,51-100,Startup,,No info,No info,No info,No info,No info,No info,No info
Backend Developer,8,Senior,65000,Full-time employee,Unlimited contract,011-050,Product,,PHP; ,,,,,,
Backend Developer,12,Senior,68000,Full-time employee,Unlimited contract,011-050,Product,,Java; ,,,,,,
Software Engineer,,Senior,75000,Full-time employee,,,,,PHP; ,,,,,,
Software Engineer,11,Senior,65000,Full-time employee,Unlimited contract,101-1000,Product,2000,PHP; ,,,,,,
DevOps,15,Lead,90000,Full-time employee,Unlimited contract,101-1000,Product,,,,,,,,Kubernetes; 
Software Engineer,5,Senior,75000,Full-time employee,Unlimited contract,101-1000,Product,,Golang; ,,,,,,
