Your main technology / programming language,Programming languages
TypeScript,TypeScript; 
Ruby,Ruby; 
Javascript / Typescript,JavaScript; TypeScript; 
Javascript,JavaScript; 
C# .NET,C#; 
"AWS, GCP, Python,K8s",Python; 
Javascript,JavaScript; 
Typescript,TypeScript; 
PHP,PHP; 
Java,Java; 
Aws Hadoop Postgre Typescript,TypeScript; 
C++,C++; 
PHP,PHP; 
Typescript,TypeScript; 
,No info
Kotlin,Kotlin; 
Ruby,Ruby; 
,No info
PHP,PHP; 
kotlin,Kotlin; 
,No info
NodeJS,JavaScript; 
Javascript,JavaScript; 
Java,Java; 
PHP,PHP; 
iOS,
Kubernetes,
Charles,
,No info
SQL,
Go,Golang; 
java,Java; 
,No info
Java,Java; 
Javascript,JavaScript; 
Python,Python; 
Figma,
JavaScript,JavaScript; 
Kotlin,Kotlin; 
Go/Python,Golang; Python; 
React,
Java,Java; 
TypeScript,TypeScript; 
С#,
Java,Java; 
Java,Java; 
,No info
Java,Java; 
,No info
Python,Python; 
Ruby,Ruby; 
Figma,
,No info
PHP,PHP; 
Java,Java; 
PHP,PHP; 
Php,PHP; 
Kubernetes,
Go,Golang; 
ruby on rails,
Java,Java; 
Kotlin,Kotlin; 
JavaScript/ES6,JavaScript; 
.NET,
Javascript,JavaScript; 
Hardware,
,No info
C#,C#; 
Google Cloud Platform,Golang; 
Js,JavaScript; 
android,
java,Java; 
C#,C#; 
JavaScript ,JavaScript; 
Java,Java; 
Java,Java; 
,No info
Java,Java; 
Scala,Scala; 
python,Python; 
Go,Golang; 
SQL,
Scala,Scala; 
,No info
Kotlin,Kotlin; 
python,Python; 
"C#, .net core",C#; 
Java,Java; 
Python,Python; 
Kubernetes,
Python,Python; 
VHDL,VHDL; 
Power BI,
,No info
,No info
Java,Java; 
PHP ,PHP; 
none,
Android,
Scala,Scala; 
Java,Java; 
Java,Java; 
Java,Java; 
PHP,PHP; 
Java,Java; 
JavaScript,JavaScript; 
Swift,Swift; 
ML,
php,PHP; 
Python,Python; 
Python,Python; 
JavaScript,JavaScript; 
PHP,PHP; 
Javascript,JavaScript; 
Scala,Scala; 
C++,C++; 
,No info
"Scala, React.js",JavaScript; Scala; 
SQL,
PHP,PHP; 
iOS,
C#,C#; 
Java,Java; 
Ml/Python,Python; 
Swift,Swift; 
,No info
"C#, .net core",C#; 
Javascript,JavaScript; 
JavaScript/TypeScript,JavaScript; TypeScript; 
php,PHP; 
Python,Python; 
Java,Java; 
Java,Java; 
PHP,PHP; 
Javascript,JavaScript; 
,No info
Java,Java; 
Ruby on Rails,Ruby; 
Java,Java; 
Ruby,Ruby; 
C#,C#; 
"Azure, SAP",
,No info
,No info
Scala,Scala; 
Python,Python; 
JavaScript,JavaScript; 
Java,Java; 
java,Java; 
,No info
Python,Python; 
python,Python; 
,No info
Java,Java; 
,No info
Java,Java; 
Java,Java; 
PHP,PHP; 
Frontend,
"Java, JavaScript",Java; JavaScript; 
,No info
PHP,PHP; 
yaml,
Python ,Python; 
Javascript,JavaScript; 
Java,Java; 
JS,JavaScript; 
Java ,Java; 
Java,Java; 
,No info
Python,Python; 
Swift,Swift; 
PHP,PHP; 
Swift,Swift; 
Java,Java; 
Java,Java; 
Python,Python; 
Java,Java; 
PHP,PHP; 
-,
Android,
JavaScript,JavaScript; 
Kotlin,Kotlin; 
